WARNING (------): DXF version not recognised or not release 12-15.
WARNING (011092): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011094): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011096): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011098): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011100): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011102): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011104): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011106): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011108): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011110): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011112): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011114): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011116): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011118): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011120): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011122): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011124): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011126): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011128): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011130): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011132): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011134): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011136): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011138): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011140): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011142): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011144): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011146): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011148): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011150): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011152): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011154): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011156): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011158): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011160): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011162): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011164): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011166): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011168): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011170): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011172): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011174): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011176): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011178): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011180): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011182): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011184): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011186): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011188): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011190): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011192): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011194): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011196): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011198): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011200): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011202): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011204): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011206): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011208): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011210): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011212): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011214): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011216): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011218): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011220): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011222): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011224): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011226): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011228): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011230): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011232): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011234): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011236): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011238): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011240): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011242): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011244): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011246): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011248): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011250): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011252): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011254): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011256): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011258): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011260): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011262): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011264): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011266): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011268): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011270): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011272): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011274): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011276): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011278): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011280): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011282): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011284): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011286): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011288): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011290): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011292): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011294): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011296): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011298): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011300): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011302): Possible end of OBJECTS section before end of an XRECORD.
WARNING (004240): BLOCKS section group 70 unknown/not supported - ignored.
WARNING (004282): LAYER object group 290 unknown/not supported - ignored.
WARNING (004310): LAYER object group 1001 unknown/not supported - ignored.
WARNING (004312): LAYER object group 1000 unknown/not supported - ignored.
WARNING (004314): LAYER object group 1000 unknown/not supported - ignored.
WARNING (004338): LAYER object group 1001 unknown/not supported - ignored.
WARNING (004340): LAYER object group 1000 unknown/not supported - ignored.
WARNING (004342): LAYER object group 1000 unknown/not supported - ignored.
WARNING (004366): LAYER object group 1001 unknown/not supported - ignored.
WARNING (004368): LAYER object group 1000 unknown/not supported - ignored.
WARNING (004370): LAYER object group 1000 unknown/not supported - ignored.
WARNING (006782): BLOCK object group 3 unknown/not supported - ignored.
WARNING (006784): BLOCK object group 1 unknown/not supported - ignored.
